"filename", "language", "Dart", "comment", "blank", "total"
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\global\button_availability.dart", "Dart", 32, 0, 2, 34
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\global\capitalize_first_letter_of_words.dart", "Dart", 11, 0, 1, 12
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\global\loading_custom.dart", "Dart", 14, 0, 2, 16
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\global\upload_file.dart", "Dart", 66, 3, 9, 78
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\auth_helper.dart", "Dart", 7, 0, 3, 10
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\file_picker_helper.dart", "Dart", 17, 0, 4, 21
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\lang_helper.dart", "Dart", 14, 2, 5, 21
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\launch_url.dart", "Dart", 16, 1, 4, 21
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\local_auth.dart", "Dart", 0, 19, 3, 22
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\numbers_helper.dart", "Dart", 34, 0, 4, 38
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\randome_color.dart", "Dart", 11, 0, 2, 13
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\routing_helper.dart", "Dart", 13, 2, 3, 18
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\share_helper.dart", "Dart", 9, 0, 2, 11
"d:\projects\flutter\49\49-mobile-app\lib\common\functions\helper\time_of_day_helper.dart", "Dart", 33, 0, 6, 39
"d:\projects\flutter\49\49-mobile-app\lib\common\models\public\city_model.dart", "Dart", 14, 0, 1, 15
"d:\projects\flutter\49\49-mobile-app\lib\common\models\public\pagination_params.dart", "Dart", 10, 0, 3, 13
"d:\projects\flutter\49\49-mobile-app\lib\common\models\public\state_model.dart", "Dart", 14, 0, 1, 15
"d:\projects\flutter\49\49-mobile-app\lib\common\other\show_snack_bar.dart", "Dart", 0, 56, 1, 57
"d:\projects\flutter\49\49-mobile-app\lib\common\statuses\form_submission_status.dart", "Dart", 12, 0, 5, 17
"d:\projects\flutter\49\49-mobile-app\lib\common\theme\cubit\cubit.dart", "Dart", 17, 0, 5, 22
"d:\projects\flutter\49\49-mobile-app\lib\common\theme\cubit\states.dart", "Dart", 3, 0, 3, 6
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dialogs\show_bottom_sheet.dart", "Dart", 25, 1, 2, 28
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dynamic\bottom_navigator.dart", "Dart", 230, 0, 15, 245
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dynamic\bottom_painter.dart", "Dart", 29, 0, 7, 36
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dynamic\drawer.dart", "Dart", 485, 16, 21, 522
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dynamic\floating_button.dart", "Dart", 47, 2, 6, 55
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dynamic\google_ads_banner.dart", "Dart", 34, 5, 4, 43
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dynamic\sizer.dart", "Dart", 17, 0, 4, 21
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\dynamic\wallet_widget.dart", "Dart", 132, 1, 6, 139
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\abstract\decimal_restriction.dart", "Dart", 10, 2, 2, 14
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\abstract\main_text_form_field.dart", "Dart", 202, 0, 10, 212
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\confirm_password_text_field.dart", "Dart", 60, 0, 8, 68
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\default_text_form_field.dart", "Dart", 56, 0, 3, 59
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\email_text_form_field.dart", "Dart", 27, 0, 3, 30
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\first_name_text_form_field.dart", "Dart", 25, 0, 3, 28
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\form_text_field.dart", "Dart", 186, 0, 7, 193
"d:\projects\flutter\49\49-mobile-app\lib\common\widgets\form\text_fields\last_name_text_form_field.dart", "Dart", 23, 0, 3, 26
