Date : 2024-08-20 21:35:42
Directory : d:\projects\flutter\49\49-mobile-app\lib
Total : 1472 files,  95704 codes, 8632 comments, 11769 blanks, all 116105 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |      1,472 |     95,704 |      8,632 |     11,769 |    116,105 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                 |      1,472 |     95,704 |      8,632 |     11,769 |    116,105 |
| . (Files)                                                                                                                                                                         |          2 |        123 |         29 |         10 |        162 |
| common                                                                                                                                                                            |         80 |      4,682 |        156 |        465 |      5,303 |
| common\functions                                                                                                                                                                  |         14 |        277 |         27 |         50 |        354 |
| common\functions\global                                                                                                                                                           |          4 |        123 |          3 |         14 |        140 |
| common\functions\helper                                                                                                                                                           |         10 |        154 |         24 |         36 |        214 |
| common\models                                                                                                                                                                     |          3 |         38 |          0 |          5 |         43 |
| common\models\public                                                                                                                                                              |          3 |         38 |          0 |          5 |         43 |
| common\other                                                                                                                                                                      |          1 |          0 |         56 |          1 |         57 |
| common\statuses                                                                                                                                                                   |          1 |         12 |          0 |          5 |         17 |
| common\theme                                                                                                                                                                      |          2 |         20 |          0 |          8 |         28 |
| common\theme\cubit                                                                                                                                                                |          2 |         20 |          0 |          8 |         28 |
| common\widgets                                                                                                                                                                    |         59 |      4,335 |         73 |        396 |      4,804 |
| common\widgets\dialogs                                                                                                                                                            |          1 |         25 |          1 |          2 |         28 |
| common\widgets\dynamic                                                                                                                                                            |          7 |        974 |         24 |         63 |      1,061 |
| common\widgets\form                                                                                                                                                               |         12 |        799 |         16 |         63 |        878 |
| common\widgets\form\text_fields                                                                                                                                                   |         12 |        799 |         16 |         63 |        878 |
| common\widgets\form\text_fields (Files)                                                                                                                                           |         10 |        587 |         14 |         51 |        652 |
| common\widgets\form\text_fields\abstract                                                                                                                                          |          2 |        212 |          2 |         12 |        226 |
| common\widgets\stateful                                                                                                                                                           |         10 |        925 |         14 |         95 |      1,034 |
| common\widgets\stateful\banners                                                                                                                                                   |          2 |        160 |          2 |         14 |        176 |
| common\widgets\stateful\dynamic                                                                                                                                                   |          3 |        143 |          0 |         18 |        161 |
| common\widgets\stateful\maps                                                                                                                                                      |          2 |        263 |          4 |         23 |        290 |
| common\widgets\stateful\picker                                                                                                                                                    |          2 |        139 |          0 |         15 |        154 |
| common\widgets\stateful\videos                                                                                                                                                    |          1 |        220 |          8 |         25 |        253 |
| common\widgets\stateless                                                                                                                                                          |         29 |      1,612 |         18 |        173 |      1,803 |
| common\widgets\stateless\appbar                                                                                                                                                   |          2 |        164 |          8 |         12 |        184 |
| common\widgets\stateless\buttons                                                                                                                                                  |          6 |        482 |          0 |         43 |        525 |
| common\widgets\stateless\charts                                                                                                                                                   |          1 |         76 |          2 |         15 |         93 |
| common\widgets\stateless\custom_sheet                                                                                                                                             |          2 |         70 |          0 |          7 |         77 |
| common\widgets\stateless\dynamic                                                                                                                                                  |          8 |        363 |          0 |         45 |        408 |
| common\widgets\stateless\images                                                                                                                                                   |          5 |        251 |          7 |         25 |        283 |
| common\widgets\stateless\labels                                                                                                                                                   |          4 |        179 |          1 |         22 |        202 |
| common\widgets\stateless\pages                                                                                                                                                    |          1 |         27 |          0 |          4 |         31 |
| core                                                                                                                                                                              |        106 |      5,944 |        338 |        995 |      7,277 |
| core\abstract                                                                                                                                                                     |          2 |         24 |          0 |          9 |         33 |
| core\animations                                                                                                                                                                   |          1 |         72 |          2 |         11 |         85 |
| core\api                                                                                                                                                                          |          7 |        791 |         64 |        126 |        981 |
| core\api (Files)                                                                                                                                                                  |          4 |        743 |         52 |        117 |        912 |
| core\api\interceptors                                                                                                                                                             |          3 |         48 |         12 |          9 |         69 |
| core\data                                                                                                                                                                         |         23 |      2,507 |          5 |        374 |      2,886 |
| core\data\datasources                                                                                                                                                             |          3 |        108 |          5 |         19 |        132 |
| core\data\models                                                                                                                                                                  |         20 |      2,399 |          0 |        355 |      2,754 |
| core\domain                                                                                                                                                                       |          1 |          3 |          0 |          1 |          4 |
| core\domain\repositories                                                                                                                                                          |          1 |          3 |          0 |          1 |          4 |
| core\enums                                                                                                                                                                        |         26 |        474 |          3 |         66 |        543 |
| core\error                                                                                                                                                                        |          1 |         65 |          0 |         14 |         79 |
| core\exceptions                                                                                                                                                                   |          7 |         87 |         23 |         25 |        135 |
| core\extensions                                                                                                                                                                   |          2 |         16 |          6 |         10 |         32 |
| core\failure                                                                                                                                                                      |          1 |          0 |         41 |         10 |         51 |
| core\local_storage                                                                                                                                                                |          1 |         59 |          0 |         12 |         71 |
| core\localization                                                                                                                                                                 |          2 |         24 |          0 |          5 |         29 |
| core\messages                                                                                                                                                                     |          1 |        201 |          0 |          7 |        208 |
| core\service                                                                                                                                                                      |         11 |        782 |        123 |        208 |      1,113 |
| core\states                                                                                                                                                                       |          2 |         82 |          0 |         17 |         99 |
| core\themes                                                                                                                                                                       |          2 |        117 |          2 |          6 |        125 |
| core\utils                                                                                                                                                                        |         16 |        640 |         69 |         94 |        803 |
| features                                                                                                                                                                          |      1,255 |     81,294 |      7,913 |     10,032 |     99,239 |
| features\account_taps                                                                                                                                                             |        105 |      4,087 |      1,002 |        493 |      5,582 |
| features\account_taps\account                                                                                                                                                     |         22 |        660 |        790 |        110 |      1,560 |
| features\account_taps\account\data                                                                                                                                                |          5 |        109 |          2 |         28 |        139 |
| features\account_taps\account\data\datasources                                                                                                                                    |          1 |         51 |          0 |          9 |         60 |
| features\account_taps\account\data\models                                                                                                                                         |          3 |         33 |          2 |         10 |         45 |
| features\account_taps\account\data\repositories                                                                                                                                   |          1 |         25 |          0 |          9 |         34 |
| features\account_taps\account\domain                                                                                                                                              |          7 |         73 |          0 |         20 |         93 |
| features\account_taps\account\domain\entities                                                                                                                                     |          3 |         18 |          0 |          9 |         27 |
