"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Shell Script", "Ruby", "Gradle", "Java Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\projects\flutter\49-mobile-app\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\projects\flutter\49-mobile-app\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\projects\flutter\49-mobile-app\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 8, 15, 84
"d:\projects\flutter\49-mobile-app\android\app\google-services.json", "JSON", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170
"d:\projects\flutter\49-mobile-app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\projects\flutter\49-mobile-app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 17, 5, 116
"d:\projects\flutter\49-mobile-app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\projects\flutter\49-mobile-app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\projects\flutter\49-mobile-app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\projects\flutter\49-mobile-app\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\projects\flutter\49-mobile-app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\projects\flutter\49-mobile-app\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"d:\projects\flutter\49-mobile-app\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\projects\flutter\49-mobile-app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\projects\flutter\49-mobile-app\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 5, 30
"d:\projects\flutter\49-mobile-app\assets\icons\camera_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\projects\flutter\49-mobile-app\assets\icons\comment_dots.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 6, 22
"d:\projects\flutter\49-mobile-app\assets\icons\spotlight.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\projects\flutter\49-mobile-app\assets\images\burger_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\projects\flutter\49-mobile-app\assets\images\butterfly.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\images\cheetah.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\images\doctor_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\projects\flutter\49-mobile-app\assets\images\elephant.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 174
"d:\projects\flutter\49-mobile-app\assets\images\flower.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\images\gift.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 0, 21
"d:\projects\flutter\49-mobile-app\assets\images\goods_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\images\lion.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\images\lists_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\projects\flutter\49-mobile-app\assets\images\live.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\projects\flutter\49-mobile-app\assets\images\live_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\projects\flutter\49-mobile-app\assets\images\message.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\images\mobile_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"d:\projects\flutter\49-mobile-app\assets\images\radio.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"d:\projects\flutter\49-mobile-app\assets\images\reel_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\projects\flutter\49-mobile-app\assets\images\ride_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\projects\flutter\49-mobile-app\assets\images\snake.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 275
"d:\projects\flutter\49-mobile-app\assets\images\social.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\images\super_gifts.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 0, 30
"d:\projects\flutter\49-mobile-app\assets\images\three_dots.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\projects\flutter\49-mobile-app\assets\images\tinder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\projects\flutter\49-mobile-app\assets\images\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\projects\flutter\49-mobile-app\assets\images\voice_live.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\projects\flutter\49-mobile-app\assets\images\white_board.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\projects\flutter\49-mobile-app\assets\images\zoom.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\projects\flutter\49-mobile-app\assets\images\zoom_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\projects\flutter\49-mobile-app\assets\images\zoom_meeting.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"d:\projects\flutter\49-mobile-app\assets\json\activities.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"d:\projects\flutter\49-mobile-app\assets\json\ad_details.json", "JSON", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"d:\projects\flutter\49-mobile-app\assets\json\ad_properties.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"d:\projects\flutter\49-mobile-app\assets\json\ads_list.json", "JSON", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 143
