Date : 2024-10-28 23:41:18
Directory : d:\projects\flutter\49-mobile-app
Total : 2882 files,  236190 codes, 35878 comments, 25383 blanks, all 297451 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |      2,754 |    230,046 |     35,769 |     25,177 |    290,992 |
| JSON            |         61 |      4,937 |          0 |         90 |      5,027 |
| XML             |         53 |        991 |         65 |         47 |      1,103 |
| Gradle          |          3 |        121 |         10 |         25 |        156 |
| Ruby            |          1 |         36 |          2 |         10 |         48 |
| Swift           |          2 |         29 |          2 |         12 |         43 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |         10 |          0 |          1 |         11 |
| YAML            |          2 |          4 |         22 |          5 |         31 |
| Shell Script    |          1 |          2 |          8 |          6 |         16 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                             |      2,882 |    236,190 |     35,878 |     25,383 |    297,451 |
| . (Files)                                                                                                                                                                                                     |          5 |         17 |         30 |         18 |         65 |
| android                                                                                                                                                                                                       |         14 |        433 |         67 |         40 |        540 |
| android (Files)                                                                                                                                                                                               |          3 |         65 |          2 |         10 |         77 |
| android\app                                                                                                                                                                                                   |         10 |        363 |         65 |         29 |        457 |
| android\app (Files)                                                                                                                                                                                           |          2 |        231 |          8 |         15 |        254 |
| android\app\src                                                                                                                                                                                               |          8 |        132 |         57 |         14 |        203 |
| android\app\src\debug                                                                                                                                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                                                                                                          |          6 |        126 |         49 |         12 |        187 |
| android\app\src\main (Files)                                                                                                                                                                                  |          1 |         94 |         17 |          5 |        116 |
| android\app\src\main\res                                                                                                                                                                                      |          5 |         32 |         32 |          7 |         71 |
| android\app\src\main\res\drawable                                                                                                                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                                                               |          2 |         15 |          9 |          2 |         26 |
| android\app\src\main\res\values-night                                                                                                                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                                                                                                |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                                                                                        |         99 |      5,412 |          6 |        120 |      5,538 |
| assets\icons                                                                                                                                                                                                  |          3 |         14 |          4 |          8 |         26 |
| assets\images                                                                                                                                                                                                 |         28 |        711 |          2 |         11 |        724 |
| assets\json                                                                                                                                                                                                   |         46 |      2,557 |          0 |         79 |      2,636 |
| assets\lottie                                                                                                                                                                                                 |          8 |          8 |          0 |          0 |          8 |
| assets\settings                                                                                                                                                                                               |         12 |         73 |          0 |         12 |         85 |
| assets\settings\New folder                                                                                                                                                                                    |         12 |         73 |          0 |         12 |         85 |
| assets\translations                                                                                                                                                                                           |          2 |      2,049 |          0 |         10 |      2,059 |
| ios                                                                                                                                                                                                           |         10 |        282 |          6 |         28 |        316 |
| ios (Files)                                                                                                                                                                                                   |          2 |         43 |          2 |         10 |         55 |
| ios\Runner                                                                                                                                                                                                    |          7 |        232 |          2 |         14 |        248 |
| ios\Runner (Files)                                                                                                                                                                                            |          2 |         23 |          0 |          9 |         32 |
| ios\RunnerTests                                                                                                                                                                                               |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                                                                                                    |          3 |        148 |          0 |          3 |        151 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                                                 |          1 |        122 |          0 |          0 |        122 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                                                               |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                                                         |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                                                           |      2,753 |    230,032 |     35,759 |     25,171 |    290,962 |
| lib (Files)                                                                                                                                                                                                   |          2 |        244 |         28 |         17 |        289 |
| lib\common                                                                                                                                                                                                    |         80 |      5,318 |        255 |        500 |      6,073 |
| lib\common\functions                                                                                                                                                                                          |         13 |        333 |         32 |         56 |        421 |
| lib\common\functions\global                                                                                                                                                                                   |          3 |        179 |          8 |         19 |        206 |
| lib\common\functions\helper                                                                                                                                                                                   |         10 |        154 |         24 |         37 |        215 |
| lib\common\models                                                                                                                                                                                             |          3 |         43 |          0 |          6 |         49 |
| lib\common\models\public                                                                                                                                                                                      |          3 |         43 |          0 |          6 |         49 |
| lib\common\other                                                                                                                                                                                              |          1 |          0 |         56 |          1 |         57 |
| lib\common\statuses                                                                                                                                                                                           |          1 |         12 |          0 |          5 |         17 |
| lib\common\theme                                                                                                                                                                                              |          2 |         25 |          0 |          9 |         34 |
| lib\common\theme\cubit                                                                                                                                                                                        |          2 |         25 |          0 |          9 |         34 |
| lib\common\widgets                                                                                                                                                                                            |         60 |      4,905 |        167 |        423 |      5,495 |
| lib\common\widgets\dialogs                                                                                                                                                                                    |          1 |         26 |          1 |          2 |         29 |
| lib\common\widgets\dynamic                                                                                                                                                                                    |          7 |      1,095 |         47 |         75 |      1,217 |
| lib\common\widgets\form                                                                                                                                                                                       |         12 |        817 |         51 |         62 |        930 |
| lib\common\widgets\form\text_fields                                                                                                                                                                           |         12 |        817 |         51 |         62 |        930 |
| lib\common\widgets\form\text_fields (Files)                                                                                                                                                                   |         10 |        573 |         49 |         51 |        673 |
| lib\common\widgets\form\text_fields\abstract                                                                                                                                                                  |          2 |        244 |          2 |         11 |        257 |
| lib\common\widgets\stateful                                                                                                                                                                                   |         10 |      1,077 |         21 |         97 |      1,195 |
| lib\common\widgets\stateful\banners                                                                                                                                                                           |          2 |        251 |          9 |         14 |        274 |
| lib\common\widgets\stateful\dynamic                                                                                                                                                                           |          3 |        171 |          0 |         19 |        190 |
| lib\common\widgets\stateful\maps                                                                                                                                                                              |          2 |        265 |          4 |         23 |        292 |
| lib\common\widgets\stateful\picker                                                                                                                                                                            |          2 |        169 |          0 |         16 |        185 |
| lib\common\widgets\stateful\videos                                                                                                                                                                            |          1 |        221 |          8 |         25 |        254 |
| lib\common\widgets\stateless                                                                                                                                                                                  |         30 |      1,890 |         47 |        187 |      2,124 |
| lib\common\widgets\stateless\appbar                                                                                                                                                                           |          3 |        245 |         12 |         15 |        272 |
| lib\common\widgets\stateless\appbar (Files)                                                                                                                                                                   |          2 |        212 |          6 |         11 |        229 |
| lib\common\widgets\stateless\appbar\widgets                                                                                                                                                                   |          1 |         33 |          6 |          4 |         43 |
| lib\common\widgets\stateless\buttons                                                                                                                                                                          |          6 |        499 |          0 |         42 |        541 |
| lib\common\widgets\stateless\charts                                                                                                                                                                           |          1 |         79 |          2 |         15 |         96 |
| lib\common\widgets\stateless\custom_sheet                                                                                                                                                                     |          2 |         96 |          0 |          7 |        103 |
| lib\common\widgets\stateless\dynamic                                                                                                                                                                          |          8 |        376 |          0 |         45 |        421 |
| lib\common\widgets\stateless\images                                                                                                                                                                           |          5 |        267 |         20 |         26 |        313 |
| lib\common\widgets\stateless\labels                                                                                                                                                                           |          4 |        301 |         13 |         33 |        347 |
| lib\common\widgets\stateless\pages                                                                                                                                                                            |          1 |         27 |          0 |          4 |         31 |
| lib\core                                                                                                                                                                                                      |        130 |     10,340 |        851 |      1,222 |     12,413 |
| lib\core\abstract                                                                                                                                                                                             |          2 |         24 |          0 |          9 |         33 |
| lib\core\animations                                                                                                                                                                                           |          2 |        110 |          4 |         18 |        132 |
| lib\core\constants                                                                                                                                                                                            |          1 |         11 |          0 |          1 |         12 |
| lib\core\data                                                                                                                                                                                                 |         34 |      3,894 |        319 |        662 |      4,875 |
| lib\core\data\datasources                                                                                                                                                                                     |         14 |      1,570 |        319 |        317 |      2,206 |
| lib\core\data\datasources (Files)                                                                                                                                                                             |          3 |        134 |          7 |         22 |        163 |
| lib\core\data\datasources\local                                                                                                                                                                               |          2 |        126 |          0 |         21 |        147 |
| lib\core\data\datasources\local\database                                                                                                                                                                      |          1 |         67 |          0 |          9 |         76 |
| lib\core\data\datasources\local\shared_preferences                                                                                                                                                            |          1 |         59 |          0 |         12 |         71 |
| lib\core\data\datasources\remote                                                                                                                                                                              |          9 |      1,310 |        312 |        274 |      1,896 |
| lib\core\data\datasources\remote\api                                                                                                                                                                          |          8 |      1,288 |         81 |        269 |      1,638 |
| lib\core\data\datasources\remote\api (Files)                                                                                                                                                                  |          5 |      1,240 |         69 |        260 |      1,569 |
| lib\core\data\datasources\remote\api\interceptors                                                                                                                                                             |          3 |         48 |         12 |          9 |         69 |
